"
  Doodle: Live Wallpapers","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a-/ACNPEu8QjjobsF2NxTxHIuR30kWbGghDeRThsdfiLuyBcQ=s32-rw","Dhruv Nath","November 4, 2022","A brilliant creation! Just needs another couple of wallpapers and some more animation options it would become mind blowing.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_xQ2p890XW_K7zqRGgAsw1De3rSpOT8bwCEq1SRg=s32-rw","Rudraksh Pahade","November 7, 2022","Excellant app 👌🏼Loved pixel live wallpapers and moreever the adaption of ""Material You"" is way too good. I've downloaded on my Pixel 3a Android 12 and it's working pretty good without any issues/bug. Great concept 👌🏼 Developer needs this shout out 😃","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8gk_Kgv2NxjEyb-4DwnIXo896E5H7TObhf3uSacA=s32-rw","Joshua B.","November 7, 2022","Love this app. Sadly no pixel 7 wallpapers. As soon as you add that my review will become 5 stars (I know it takes a while as this isn’t a simple static copy and “copy and paste a image” app, so take your time) edit: I don’t think 4 stars is fair, I amde it 5 just keep pixel 7 in mind. Also, where can I donate?","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8IePcNdjKy-C0MdGoOJDNk9HK_q_nwub5DN4FJpQ=s32-rw","Chronox","October 29, 2022","Great app! I am currently using the Poco F3 on MIUI 13 and Android 12 and it works perfectly! I am not sure if this is the app or my phone but I only have the options to set home screen or home and lock screen. Is it possible to get just the lock screen?","","Show review history","Patrick Zedler","October 29, 2022","Thank you so much!😁 You can read more about this in the in-app help dialog, it's up to your phone to offer this option :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu-Fg11ixCnVQ6C5-Ss1xlZ1azBoj9d8flZ7DcHA0A=s32-rw","Y. Pan","October 31, 2022","It's simply marvelous. Super easy and elegant to use! Also the quality of the wallpapers are just superb.","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_isMilNLJaAMsXDQN-RkVNwmAaqNtttIxAolDZSA=s32-rw","rahul nair","November 11, 2022","Minimalistic, aesthetic and amazing . Just what I needed. Hoping for more patterns and wallpapers in future","","Show review history","Patrick Zedler","November 11, 2022","Thank you so much! 😁"
"https://play-lh.googleusercontent.com/a-/ACNPEu9jF7z2tmt_g0eKWSWhdZSSuNRmgLY_JgBPx8rNxQ=s32-rw","Simão Correia","October 31, 2022","No ads, no in app purchases. Just needs more wallpapers, but the wallpapers are customizable enough. Great app.","1 person found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-2h8jECe-9u5w21H4WdmTG0tFaiTFuuneugSm0=s32-rw","BLOB","November 6, 2022","My experience with this is awesome. It works really well the animation is smooth and is clean af","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-L2rXhMBJv697WH9nEHHQh9XG6Fphf75YM1TXd-w=s32-rw","Adarsh Prajeesh","October 23, 2022","Best wallpaper app The moving wallpapers are the best But I have only one request that is to make more wallpaper like these... Other than that this is the best app for live wallpapers as there are no ads and it is open source","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8m2Hx3qmatBCHZ0rIxbBpOTDL9huhBZLV6H0yvDQ=s32-rw","Trần Mạnh Đức","November 1, 2022","Excellent app, though apparently sometimes when i choose a different wallpaper, it won't apply until the next reboot. Please fix","","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu87Wsmg97TuDjZzKa1Il4yiEZ3FKAAdgUdZnsgR=s32-rw","Varun Singh","September 7, 2022","Love the random wallpaper option but 1 thing is my home icons dissappear when changing lot if there could be some dark effect at top of each wallpaper so icons can be seen easily. At last Great app","12 people found this review helpful","Show review history","Patrick Zedler","September 7, 2022","Edit: thanks a lot! Glad that the workaround works! Can you please send me a mail with a screenshot of the contrast problem you mean?"
"https://play-lh.googleusercontent.com/a-/ACNPEu_EX1Nf6ZiQtpTXsmsqAXp8GC2nYnU3IvPaWMeJCZ0=s32-rw","dead meme","September 12, 2022","While this is one of my favorite live wallpapers, I wish there were more color options or the ability to select custom pictures to create your own wallpaper.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_KqpTKcKzAUDTSfSmeFs81vNXzH4n3hqkGv-oBbA=s32-rw","Allan Bosire","October 19, 2022","Amazing UI, very well-made and overall a great app. Hoping for new wallpapers with time but so far this is great!","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu9PjiQ3OxFjPbAQAgdX7HvB-rnUu6WcvpuZbrUEVg=s32-rw","Jayesh","October 21, 2022","Love it! No ads, easy to use, perfect! Although I would like to see an amoled friendly baground option","","","","",""
