"
  Refocus: Pomodoro Timer","username","bp9Aid","review","AJTPZc","VfPpkd-StrnGf-rymPhb-b9t22c 2","I6j64d","I9Jtec","ras4vb"
"https://play-lh.googleusercontent.com/a/ALm5wu3mVdDiWIi1AZ5IjI91tj-VXommqdGpVELP1C9J=s32-rw-mo","Mand","August 12, 2022","Unreliable, therefore useless. Works when the screen's on(regardless of whether this app's open/in the foreground), but silent otherwise - just a silent notification. App settings and phone settings both perfectly correct - battery optimisation disabled; each kind of notification individually enabled and alerting with sound in phone settings. No permissions requested anyway.","6 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_5b4foJgiuFZj6uO9wVf59SmyOq-zcOUA66qXb=s32-rw","Sreerag K","June 15, 2022","It's a really great app with amazing minimalist ui....🥰The only thing is if u could change the modes with labels like work, study and our own custom ones... I would have given it a straight 5/5... Anyway... It's an amazing app","11 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu0ohxNyw-JTbtW5iQryGVykZnaHEvVEVBZ3DHcw=s32-rw-mo","latenight","June 11, 2022","It's actually a very good app......its simple and office to use.......its a very useful app if you want to studu without getting distracted....increases your focus.......there is also breaks in between which recharges you and with this i was able to study for hours without getting distracted......thanks to the creater for making this app....every thing is there that all i wanted......","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu_vUMoMwlo-RMj2BEqNMMdM_3yDrHZQ0HUQw3J9b6M=s32-rw","Natalia Mi","September 4, 2022","Very nice, well designed app. It's simple and to the point, doesn't take much space, and simply it does its job. It's pretty helpful for studying. I like it's green colour palette","6 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a/ALm5wu1WItXzQyppxEm7pSR261FZGb4RYCDBzaiRM33V=s32-rw-mo","Richard","November 24, 2021","If you are looking for a simple timer that just does timing and has a night mode this app might be for you. In my opinion it should have at least sound and vibration to be considered a complete app. Reply to developer's response: No bugs. I mistakenly assumed there is no sound because I didn't see sound options in the settings menu. Good app nonetheless!","28 people found this review helpful","Show review history","Mlem","November 16, 2021","Thank you for your feedback. When a timer completes there should be a sound and vibration - if that's not the case then there is a bug."
"https://play-lh.googleusercontent.com/a-/ACNPEu_aUiMySip5-I61rVYzpFTVUPtuqQs4LsOLCRPGtw=s32-rw","Asia St John","December 29, 2021","Works well and they were really responsive when i asked for a small change to be made. Now it makes a notification sound even when my phone is set to silent ringtone. And i can adjust the sound it makes in the notification settings, so it's simple but very useful with a clean interface.","30 people found this review helpful","","Mlem","January 3, 2022","Thank you for downloading our app and taking the time to write a review :)"
"https://play-lh.googleusercontent.com/a-/ACNPEu8WQoScXy1Y53xhXkajWv0HUYZTpcoE3cg3_I-R=s32-rw","Nasif Ahmed","August 26, 2022","Excellent app. If you can a way to export progress data or save progress data or maybe save data on cloud. It will be perfect.","2 people found this review helpful","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8g5DYJBiUW7drvfgnRh8IZKSkb5J7iq8112DZfPlM=s32-rw","benjamin","October 16, 2022","beautiful minimalist app, easy to use, i would love even more if we could add rain or white sounds in the background","2 people found this review helpful","Show review history","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu8biEKEYGYI_2jlZGqnYpFOr0t4utgh4x3y1E6j=s32-rw","Ashwani Kumar Moudgil","August 2, 2022","Very nice app. Great colour choice by developers which gives a sense of peace. Sync features and advanced reports can added.","","","","",""
"https://play-lh.googleusercontent.com/a-/ACNPEu-POot4-dZv6o1kQAPfj7EV9ii4rxluLNJJnKuTug=s32-rw","ananya jimmy","July 3, 2022","I've been using it for a few months and I really like it. Request you to add a yearly progress feature. I would like to know how in the past few months, not just this current month.","1 person found this review helpful","","","",""
